date,price
3/2/2012,2.45
2/24/2012,2.63
2/17/2012,2.52
2/10/2012,2.51
2/3/2012,2.45
1/27/2012,2.57
1/20/2012,2.4
1/13/2012,2.81
1/6/2012,2.92
12/30/2011,3.04
12/23/2011,3.04
12/16/2011,3.08
12/9/2011,3.39
12/2/2011,3.37
11/25/2011,2.92
11/18/2011,3.1
11/11/2011,3.42
11/4/2011,3.47
10/28/2011,3.62
10/21/2011,3.62
10/14/2011,3.48
10/7/2011,3.53
9/30/2011,3.81
9/23/2011,3.77
9/16/2011,3.95
9/9/2011,3.96
9/2/2011,4.01
8/26/2011,4.01
8/19/2011,4.01
8/12/2011,4.08
8/5/2011,4.21
7/29/2011,4.4
7/22/2011,4.58
7/15/2011,4.41
7/8/2011,4.3
7/1/2011,4.32
6/24/2011,4.33
6/17/2011,4.56
6/10/2011,4.83
6/3/2011,4.65
5/27/2011,4.35
5/20/2011,4.15
5/13/2011,4.18
5/6/2011,4.5
4/29/2011,4.39
4/22/2011,4.27
4/15/2011,4.12
4/8/2011,4.15
4/1/2011,4.3
3/25/2011,4.12
3/18/2011,3.88
3/11/2011,3.8
3/4/2011,3.82
2/25/2011,3.84
2/18/2011,3.9
2/11/2011,4.17
2/4/2011,4.51
1/28/2011,4.45
1/21/2011,4.57
1/14/2011,4.46
1/7/2011,4.52
12/31/2010,4.16
12/24/2010,4.09
12/17/2010,4.26
12/10/2010,4.46
12/3/2010,4.2
11/26/2010,3.9
11/19/2010,3.73
11/12/2010,3.7
11/5/2010,3.39
10/29/2010,3.31
10/22/2010,3.37
10/15/2010,3.49
10/8/2010,3.52
10/1/2010,3.79
9/24/2010,4.01
9/17/2010,4.01
9/10/2010,3.8
9/3/2010,3.76
8/27/2010,3.96
8/20/2010,4.3
8/13/2010,4.42
8/6/2010,4.8
7/30/2010,4.75
7/23/2010,4.64
7/16/2010,4.48
7/9/2010,4.65
7/2/2010,4.66
6/25/2010,4.93
6/18/2010,5.1
6/11/2010,4.73
6/4/2010,4.44
5/28/2010,4.18
5/21/2010,4.26
5/14/2010,4.19
5/7/2010,3.94
4/30/2010,4.16
4/23/2010,3.99
4/16/2010,4.06
4/9/2010,4
4/2/2010,3.82
3/26/2010,4.01
3/19/2010,4.23
3/12/2010,4.45
3/5/2010,4.74
2/26/2010,4.87
2/19/2010,5.41
2/12/2010,5.55
2/5/2010,5.47
1/29/2010,5.47
1/22/2010,5.56
1/15/2010,5.68
1/8/2010,6.56
1/1/2010,5.88
12/25/2009,5.66
12/18/2009,5.61
12/11/2009,5.08
12/4/2009,4.5
11/27/2009,3.52
11/20/2009,3.3
11/13/2009,3.38
11/6/2009,4.28
10/30/2009,4.37
10/23/2009,4.7
10/16/2009,3.93
10/9/2009,3.6
10/2/2009,3.06
9/25/2009,3.46
9/18/2009,3.21
9/11/2009,2.69
9/4/2009,2.18
8/28/2009,2.72
8/21/2009,3.01
8/14/2009,3.39
8/7/2009,3.58
7/31/2009,3.41
7/24/2009,3.5
7/17/2009,3.29
7/10/2009,3.27
7/3/2009,3.68
6/26/2009,3.87
6/19/2009,4.04
6/12/2009,3.53
6/5/2009,3.76
5/29/2009,3.58
5/22/2009,3.79
5/15/2009,4.24
5/8/2009,3.78
5/1/2009,3.29
4/24/2009,3.45
4/17/2009,3.53
4/10/2009,3.61
4/3/2009,3.62
3/27/2009,4.06
3/20/2009,3.8
3/13/2009,3.89
3/6/2009,4.23
2/27/2009,4.15
2/20/2009,4.34
2/13/2009,4.72
2/6/2009,4.81
1/30/2009,4.74
1/23/2009,4.8
1/16/2009,5.42
1/9/2009,5.88
1/2/2009,5.64
12/26/2008,5.41
12/19/2008,5.72
12/12/2008,5.68
12/5/2008,6.44
11/28/2008,6.61
11/21/2008,6.67
11/14/2008,6.68
11/7/2008,6.76
10/31/2008,6.44
10/24/2008,6.75
10/17/2008,6.68
10/10/2008,6.68
10/3/2008,7.3
9/26/2008,7.74
9/19/2008,7.91
9/12/2008,7.69
9/5/2008,7.54
8/29/2008,8.16
8/22/2008,7.9
8/15/2008,8.1
8/8/2008,8.71
8/1/2008,9.15
7/25/2008,9.93
7/18/2008,11.3
7/11/2008,12.3
7/4/2008,13.2
6/27/2008,12.89
6/20/2008,12.88
6/13/2008,12.59
6/6/2008,12.29
5/30/2008,11.67
5/23/2008,11.31
5/16/2008,11.36
5/9/2008,11.11
5/2/2008,10.75
4/25/2008,10.54
4/18/2008,10.13
4/11/2008,9.88
4/4/2008,9.68
3/28/2008,9.24
3/21/2008,9.09
3/14/2008,9.74
3/7/2008,9.43
2/29/2008,9.16
2/22/2008,8.89
2/15/2008,8.47
2/8/2008,7.87
2/1/2008,8.02
1/25/2008,7.87
1/18/2008,8.33
1/11/2008,7.84
1/4/2008,7.57
12/28/2007,6.97
12/21/2007,7.12
12/14/2007,7.17
12/7/2007,7.12
11/30/2007,7.44
11/23/2007,6.88
11/16/2007,7.19
11/9/2007,6.95
11/2/2007,6.93
10/26/2007,6.39
10/19/2007,7.1
10/12/2007,6.68
10/5/2007,6.65
9/28/2007,6.33
9/21/2007,6.21
9/14/2007,6.03
9/7/2007,5.66
8/31/2007,5.51
8/24/2007,5.93
8/17/2007,7.08
8/10/2007,6.35
8/3/2007,6.3
7/27/2007,5.76
7/20/2007,6.37
7/13/2007,6.4
7/6/2007,6.27
6/29/2007,6.71
6/22/2007,7.36
6/15/2007,7.51
6/8/2007,7.76
6/1/2007,7.65
5/25/2007,7.56
5/18/2007,7.74
5/11/2007,7.56
5/4/2007,7.68
4/27/2007,7.48
4/20/2007,7.51
4/13/2007,7.83
4/6/2007,7.55
3/30/2007,7.32
3/23/2007,6.91
3/16/2007,6.86
3/9/2007,7.32
3/2/2007,7.34
2/23/2007,7.46
2/16/2007,8.43
2/9/2007,8.31
2/2/2007,7.71
1/26/2007,7.29
1/19/2007,6.52
1/12/2007,6.13
1/5/2007,5.5
12/29/2006,5.6
12/22/2006,6.26
12/15/2006,7.01
12/8/2006,7.51
12/1/2006,7.93
11/24/2006,7.59
11/17/2006,7.39
11/10/2006,7.04
11/3/2006,7.11
10/27/2006,7.39
10/20/2006,6.22
10/13/2006,5.07
10/6/2006,4.32
9/29/2006,4.17
9/22/2006,4.8
9/15/2006,5.15
9/8/2006,5.53
9/1/2006,6.04
8/25/2006,7.09
8/18/2006,6.84
8/11/2006,7.43
8/4/2006,8.08
7/28/2006,6.82
7/21/2006,6.04
7/14/2006,5.74
7/7/2006,5.39
6/30/2006,5.97
6/23/2006,6.5
6/16/2006,6.3
6/9/2006,6.06
6/2/2006,6.16
5/26/2006,5.96
5/19/2006,5.92
5/12/2006,6.55
5/5/2006,6.61
4/28/2006,7.17
4/21/2006,7.63
4/14/2006,6.81
4/7/2006,6.98
3/31/2006,7.11
3/24/2006,7.1
3/17/2006,7.06
3/10/2006,6.44
3/3/2006,6.71
2/24/2006,7.39
2/17/2006,7.25
2/10/2006,7.8
2/3/2006,8.36
1/27/2006,8.22
1/20/2006,8.67
1/13/2006,8.63
1/6/2006,9.42
12/30/2005,9.93
12/23/2005,13.06
12/16/2005,14.49
12/9/2005,14.21
12/2/2005,11.89
11/25/2005,10.88
11/18/2005,10.26
11/11/2005,9.22
11/4/2005,10.86
10/28/2005,13.71
10/21/2005,13.36
10/14/2005,13.4
10/7/2005,13.67
9/30/2005,
9/23/2005,13.46
9/16/2005,10.94
9/9/2005,11.14
9/2/2005,11.6
8/26/2005,9.81
8/19/2005,9.53
8/12/2005,9.07
8/5/2005,8.46
7/29/2005,7.56
7/22/2005,7.65
7/15/2005,7.79
